授業,じゅぎょう ①,&lt;名·自Ⅲ&gt;,课；上课,,3-2 新出単語
ーコマ,ひとこま ②,&lt;名&gt;,一节课,,3-2 新出単語
ー-,ひと-,&lt;接頭&gt;,1～；1次～,,3-2 新出単語
コマ,こま ⓪,&lt;名&gt;,一节课；一幕；一个画面,,3-2 新出単語
-分,-ふん,&lt;接尾&gt;,（前接促音、拨音时发「ぷん」的音。时间单位）分钟,,3-2 新出単語
時間,じかん ⓪,&lt;名&gt;,（时间单位）小时；时间,,3-2 新出単語
半,はん ①,&lt;名&gt;,半；半个小时；30分钟,,3-2 新出単語
1時間目,いちじかんめ ⑥,&lt;名&gt;,第一节课,,3-2 新出単語
-目,-め,&lt;接尾&gt;,（表示顺序、次数）第～,,3-2 新出単語
何時,なんじ ①,&lt;名&gt;,几点,,3-2 新出単語
-時,-じ,&lt;接尾&gt;,（表示时间、时刻）～点；～时,,3-2 新出単語
朝,あさ ①,&lt;名&gt;,早晨；早上,,3-2 新出単語
午後,ごご ①,&lt;名&gt;,下午,,3-2 新出単語
だいたい〖大体〗,だいたい ⓪,&lt;副·名&gt;,基本上；大约,,3-2 新出単語
今日,きょう ①,&lt;名&gt;,今天,,3-2 新出単語
夕方,ゆうがた ⓪,&lt;名&gt;,傍晚；黄昏,,3-2 新出単語
でも,でも ①,&lt;接&gt;,不过；可是,,3-2 新出単語
木曜日,もくようび ③,&lt;名&gt;,星期四,,3-2 新出単語
曜日,ようび ⓪,&lt;名&gt;,星期～；一星期中的某一天,,3-2 新出単語
それ,それ ⓪,&lt;名&gt;,（指代对方近旁或属于对方范围内的事物）那；那个,,3-2 新出単語
時間割表,じかんわりひょう ⑤,&lt;名&gt;,课程表；时间表,,3-2 新出単語
時間割,じかんわり ⓪,&lt;名&gt;,课程表；时间表,,3-2 新出単語
表,ひょう ⓪,&lt;名&gt;,表；表格,,3-2 新出単語
選択科目,せんたくかもく ⑤,&lt;名&gt;,选修课,,3-2 新出単語
選択,せんたく ⓪,&lt;名·他Ⅲ&gt;,选择,,3-2 新出単語
中国史,ちゅうごくし ④,&lt;名&gt;,中国（历）史,,3-2 新出単語
-史,-し,&lt;接尾&gt;,~史,,3-2 新出単語
自習,じしゅう ⓪,&lt;名·他Ⅲ&gt;,自习,,3-2 新出単語
火曜日,かようび ②,&lt;名&gt;,星期二,,3-2 新出単語
大変,たいへん ⓪,&lt;名·形Ⅱ·副&gt;,不得了；糟了；坏了；非常；很,,3-2 新出単語
あとで〖後で〗,あとで ①,,待会儿（见）；等会儿（见）；再见,,3-2 新出単語
これ,これ ⓪,&lt;名&gt;,（指代说话人近旁或属于说话人范围内的事物）这个,,3-2 新出単語
教科書,きょうかしょ ③,&lt;名&gt;,教科书；教材,,3-2 新出単語
どんな,どんな ①,&lt;連体&gt;,什么样的；怎样的,,3-2 新出単語
とても,とても ⓪,&lt;副&gt;,非常；很,,3-2 新出単語
厳しい,きびしい ③,&lt;形Ⅰ&gt;,严厉（的）；严格（的）,,3-2 新出単語
から,から,&lt;格助&gt;,（表示起点）从；自,,3-2 新出単語
が (3-2),が,&lt;接助&gt;,（放在句尾，使语气显得柔和）不过；可是,,3-2 新出単語
まで,まで,&lt;格助&gt;,（表示到达点或动作、作用、状态的终结点、范围）到,,3-2 新出単語
食堂,しょくどう ⓪,&lt;名&gt;,食堂,,3-2 練習用単語
郵便局,ゆうびんきょく ③,&lt;名&gt;,邮局,,3-2 練習用単語
芸術史,げいじゅつし ③④,&lt;名&gt;,艺术史,,3-2 練習用単語
おもしろい,おもしろい ④,&lt;形Ⅰ&gt;,有趣（的）；有意思（的）,,3-2 練習用単語
難しい,むずかしい ⓪,&lt;形Ⅰ&gt;,难（的）,,3-2 練習用単語
勉強会,べんきょうかい ③,&lt;名&gt;,学习会,,3-2 練習用単語
-会,-かい,&lt;接尾&gt;,～会,,3-2 練習用単語
夜,よる ①,&lt;名&gt;,夜晚,,3-2 練習用単語
土曜日,どようび ②,&lt;名&gt;,星期六,,3-2 練習用単語
休み,やすみ ③,&lt;名&gt;,休息；请假,,3-2 練習用単語
日曜日,にちようび ②,&lt;名&gt;,星期天；星期日,,3-2 練習用単語
診療時間,しんりょうじかん ⑤,&lt;名&gt;,门诊时间,,3-2 練習用単語
診療,しんりょう ⓪,&lt;名·他Ⅲ&gt;,诊疗；治疗,,3-2 練習用単語
休日,きゅうじつ ⓪,&lt;名&gt;,休息日,,3-2 練習用単語
