授業（じゅぎょう）①,<名·自Ⅲ>,课；上课
ーコマ（ひとこま）②,<名>,一节课
ー-（ひと-）,<接頭>,1～；1次～
コマ（こま）⓪,<名>,一节课；一幕；一个画面
-分（-ふん）,<接尾>,（前接促音、拨音时发「ぷん」的音。时间单位）分钟
時間（じかん）⓪,<名>,（时间单位）小时；时间
半（はん）①,<名>,半；半个小时；30分钟
1時間目（いちじかんめ）⑥,<名>,第一节课
-目（-め）,<接尾>,（表示顺序、次数）第～
何時（なんじ）①,<名>,几点
-時（-じ）,<接尾>,（表示时间、时刻）～点；～时
朝（あさ）①,<名>,早晨；早上
午後（ごご）①,<名>,下午
だいたい〖大体〗⓪,<副·名>,基本上；大约
今日（きょう）①,<名>,今天
夕方（ゆうがた）⓪,<名>,傍晚；黄昏
でも①,<接>,不过；可是
木曜日（もくようび）③,<名>,星期四
曜日（ようび）⓪,<名>,星期～；一星期中的某一天
それ⓪,<名>,（指代对方近旁或属于对方范围内的事物）那；那个
時間割表（じかんわりひょう）⑤,<名>,课程表；时间表
時間割（じかんわり）⓪,<名>,课程表；时间表
表（ひょう）⓪,<名>,表；表格
ほら①,<感>,（用于引起对方注意）嗨；嘿；诶
選択科目（せんたくかもく）⑤,<名>,选修课
選択（せんたく）⓪,<名·他Ⅲ>,选择
中国史（ちゅうごくし）④,<名>,中国（历）史
-史（-し）,<接尾>,~史
自習（じしゅう）⓪,<名·他Ⅲ>,自习
火曜日（かようび）②,<名>,星期二
大変（たいへん）⓪,<名·形Ⅱ·副>,不得了；糟了；坏了；非常；很
あとで〖後で〗①,,待会儿（见）；等会儿（见）；再见
これ⓪,<名>,（指代说话人近旁或属于说话人范围内的事物）这个
教科書（きょうかしょ）③,<名>,教科书；教材
どんな①,<連体>,什么样的；怎样的
とても⓪,<副>,非常；很
厳しい（きびしい）③,<形Ⅰ>,严厉（的）；严格（的）
から,<格助>,（表示起点）从；自
が,<接助>,（放在句尾，使语气显得柔和）不过；可是
まで,<格助>,（表示到达点或动作、作用、状态的终结点、范围）到
